,cod_mun,nom_mun,Periodo,Edad media de la población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar
1453,08245,Santa Coloma de Gramenet,2016,"41,9","22,4","19,7","80,6","18,1","3,00"
1454,08245,Santa Coloma de Gramenet,2017,"42,0","22,6","19,6","79,8","18,2","3,00"
1455,08245,Santa Coloma de Gramenet,2018,"42,1","23,0","19,6","78,9","18,2","3,00"
1456,08245,Santa Coloma de Gramenet,2019,"42,2","22,9","19,5","77,7","18,1","3,00"
1457,08245,Santa Coloma de Gramenet,2020,"42,4","23,4","19,6","77,9","18,0","3,00"
1578,08266,Cerdanyola del Vallès,2015,"41,5","21,8","17,1","91,5","18,2","3,00"
1579,08266,Cerdanyola del Vallès,2016,"41,9","21,4","17,8","91,3","18,2","3,00"
1580,08266,Cerdanyola del Vallès,2017,"42,2","22,2","18,3","91,3","17,9","3,00"
1581,08266,Cerdanyola del Vallès,2018,"42,6","22,5","19,0","90,9","17,6","3,00"
1582,08266,Cerdanyola del Vallès,2019,"42,9","22,6","19,4","90,2","17,2","3,00"
1583,08266,Cerdanyola del Vallès,2020,"43,3","22,9","20,0","90,4","16,9","3,00"
1602,08270,Sitges,2015,"42,3","33,1","17,0","79,4","18,2","2,00"
1603,08270,Sitges,2016,"42,6","32,4","17,6","79,5","18,0","2,00"
1604,08270,Sitges,2017,"42,9","33,0","17,9","78,8","17,7","2,00"
1605,08270,Sitges,2018,"43,2","33,5","18,2","77,4","17,5","2,00"
1606,08270,Sitges,2019,"43,5","33,5","18,5","77,2","17,2","2,00"
1607,08270,Sitges,2020,"43,8","33,5","18,6","76,2","16,6","2,00"
1674,08282,Tiana,2015,"39,9","17,1","14,2","96,6","20,9","3,00"
1675,08282,Tiana,2016,"40,1","17,4","14,4","96,7","21,1","3,00"
1676,08282,Tiana,2017,"40,3","16,6","15,0","96,2","21,3","3,00"
1677,08282,Tiana,2018,"40,6","17,1","15,5","95,6","21,1","3,00"
1678,08282,Tiana,2019,"41,0","18,2","16,1","95,2","20,8","3,00"
1679,08282,Tiana,2020,"41,2","17,4","16,5","95,0","20,4","3,00"
1716,08289,Torrelles de Llobregat,2015,"38,0","18,6","11,3","95,0","23,6","3,00"
1717,08289,Torrelles de Llobregat,2016,"38,4","18,4","11,6","95,3","23,6","3,00"
1718,08289,Torrelles de Llobregat,2017,"38,9","19,5","12,3","95,2","23,2","3,00"
1719,08289,Torrelles de Llobregat,2018,"39,2","20,6","12,3","94,7","22,4","3,00"
1720,08289,Torrelles de Llobregat,2019,"39,5","20,3","12,4","94,8","21,8","3,00"
1721,08289,Torrelles de Llobregat,2020,"39,8","19,6","12,7","94,7","21,2","3,00"
1788,08301,Viladecans,2015,"39,6","17,8","15,3","93,2","21,0","3,00"
1789,08301,Viladecans,2016,"40,0","17,7","15,6","93,3","21,0","3,00"
1790,08301,Viladecans,2017,"40,3","18,2","16,0","93,2","20,8","3,00"
1791,08301,Viladecans,2018,"40,7","18,6","16,3","92,6","20,5","3,00"
1792,08301,Viladecans,2019,"40,9","18,7","16,5","91,8","20,2","3,00"
1793,08301,Viladecans,2020,"41,3","19,2","16,7","91,8","19,8","3,00"
1854,08904,Badia del Vallès,2015,"41,9","22,7","19,3","94,8","18,7","3,00"
1855,08904,Badia del Vallès,2016,"42,3","22,5","19,7","95,0","18,5","3,00"
1856,08904,Badia del Vallès,2017,"42,5","22,8","20,2","95,1","18,4","3,00"
1857,08904,Badia del Vallès,2018,"42,8","22,6","20,6","94,8","18,2","3,00"
1858,08904,Badia del Vallès,2019,"43,1","22,9","21,2","94,1","18,0","3,00"
1859,08904,Badia del Vallès,2020,"43,4","23,9","21,5","94,0","17,8","3,00"
